	url	text	id	dot	title	published	date_raw
4319	http://neurostars.org/p/4319/	Hi, I'm trying to get individual gray matter (GM) masks and to normalize these masks into MNI (3mm) template. I would like to describe my current approach, but would appreciate any comments or suggestions on it: 1) get GM mask with fs.Binarize() (inputs: aseg.mgz and GM labels) https://github.com/sheyma/stroke_preprop/blob/master/09_greyMatter.py#L26-L46 2) normalize GM mask to MNI1mm template wit	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1582fde3d59:8637252:30cfcb50	first-story	how to get individual gray matter mask by using freesurfer output	Fri, 04 Nov 2016 14:39:29 GMT	published:Fri, 04 Nov 2016 14:39:29 GMT -- Received: Fri, 04 Nov 2016 15:04:03 GMT
4314	http://neurostars.org/p/4314/	Hello, Nipype experts: I have a question for ReconAll interface( http://nipy.org/nipype/interfaces/generated/nipype.interfaces.freesurfer.preprocess.html#reconall ), here is the situation: Here is the code: def checkoutFOV (t1_list): import nibabel as nib output_flag = [] for i in t1_list: f = nib.load(i) voxel_size = f.header.get_zooms() data_shape = f.header.get_data_shape() if voxel_size[0] * d	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1582ab73f05:7ba712f:30cfcb50	first-story	Forum: Set different flag for different subjects for ReconAll interface in Nipype	Thu, 03 Nov 2016 15:01:43 GMT	published:Thu, 03 Nov 2016 15:01:43 GMT -- Received: Thu, 03 Nov 2016 15:03:22 GMT
4312	http://neurostars.org/p/4312/	When I do BedpostX FSL preprocessing I get this message: ----- Bedpostx Monitor ----- 1 slices processed out of 62 2 slices processed out of 62 . . . 59 slices processed out of 62 60 slices processed out of 62 An error ocurred. Please check file /Users/...../bedpostx.bedpostX/logs/bpx_postproc.e68944 /Users/..../bedpostx.bedpostX/monitor: line 15: kill: (9187) - No such process logout [Process com	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1582ab73f05:7ba712e:30cfcb50	first-story	FSL (preprocessing BedPostX) Error: Error in logfile. What does this mean?	Thu, 03 Nov 2016 12:40:34 GMT	published:Thu, 03 Nov 2016 12:40:34 GMT -- Received: Thu, 03 Nov 2016 15:03:22 GMT
4311	http://neurostars.org/p/4311/	Dear all, I m new to python and nipype thus I really dont know what I should do with this error message! I want to do the fsl.dit command with nipype. I did it like it is explained on this site: http://nipy.org/nipype/interfaces/generated/nipype.interfaces.fsl.dti.html#dtifit so this is my code import numpy as nump import nipype as nip from nipype.interfaces import fsl dti = fsl.DTIFit() dti.input	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1582a1251b8:63d450c:297c8405	first-story	Error when I try to use fsl.dti via nipype	Thu, 03 Nov 2016 11:57:00 GMT	published:Thu, 03 Nov 2016 11:57:00 GMT -- Received: Thu, 03 Nov 2016 12:03:13 GMT
4310	http://neurostars.org/p/4310/	 Hi, amplitdude integrated electroencephalography is an quite common dignostic method in neonatology. Does anyone have some experience using open source tools to viev aEEG Data (sigviewer, edfdisplay ...)? Using a Brainz BRM 3 monitor we just ran into the trap of proprietary file formats reslting in many .BRM-Files and a very little supported software even for windows systems. Before purchasing a 	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1582634d3e3:7289c52:30cfcb50	first-story	Displaying amplitude integrated electroencephalography	Wed, 02 Nov 2016 16:28:10 GMT	published:Wed, 02 Nov 2016 16:28:10 GMT -- Received: Wed, 02 Nov 2016 18:02:26 GMT
4309	http://neurostars.org/p/4309/	 Hi all, Did somebody ever write a wrapper for GLMDenoise or started with it? http://kendrickkay.net/GLMdenoise/ Regards, Glad 	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_15824eb131b:5af13ee:297c8405	first-story	Wrapper for GLMDenoise?	Wed, 02 Nov 2016 10:32:49 GMT	published:Wed, 02 Nov 2016 10:32:49 GMT -- Received: Wed, 02 Nov 2016 12:02:15 GMT
4303	http://neurostars.org/p/4303/	Hi all, I am trying to work my way through a rather confusing bug. Firstly, I have defined my own class for performing n-ary math (like sum/product/etc.). It has an input spec that looks like this: class NaryOperationInputSpec(DynamicTraitedSpec, BaseInterfaceInputSpec): input_list = traits.List(File(exists=True)) out_file = File(desc='Output file') def create_n_inputs(self, n): add_traits(self, [	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1581a9c75a4:5a6234b:30cfcb50	first-story	AttributeError on ignore_exception	Mon, 31 Oct 2016 11:37:37 GMT	published:Mon, 31 Oct 2016 11:37:37 GMT -- Received: Mon, 31 Oct 2016 12:00:11 GMT
4302	http://neurostars.org/p/4302/	Hi all, I am trying to work my way through a rather confusing bug. Firstly, I have defined my own class for performing n-ary math (like sum/product/etc.). It has an input spec that looks like this: class NaryOperationInputSpec(DynamicTraitedSpec, BaseInterfaceInputSpec): input_list = traits.List(File(exists=True)) out_file = File(desc='Output file') def create_n_inputs(self, n): add_traits(self, [	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1581a9c75a4:5a6234a:30cfcb50	first-story	AttributeError on ignore_exception	Mon, 31 Oct 2016 11:37:16 GMT	published:Mon, 31 Oct 2016 11:37:16 GMT -- Received: Mon, 31 Oct 2016 12:00:11 GMT
4294	http://neurostars.org/p/4294/	 Dear Oscar, I have been inspecting they outputs generated from MRIQC.​ The command line I used was: docker run -v /home/rdacosta/docker_481_sujetos/bids/:/data -v /home/rdacosta/docker_481_sujetos/scratch:/scratch -w /scratch poldracklab /mriqc:latest /data /scratch/out participant -w /scratch/work I​t ​seems that ​with this command MRIQC only generated​ individual runs but not group level analys	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1580bb44e86:4168d3b:30cfcb50	first-story	Tool: MRIQC --GRUP LEVEL ANALYSIS NOT GENERATED	Fri, 28 Oct 2016 13:00:37 GMT	published:Fri, 28 Oct 2016 13:00:37 GMT -- Received: Fri, 28 Oct 2016 14:31:55 GMT
4288	http://neurostars.org/p/4288/	 Hi, I noticed that EstimateContrast() runs every time I run the pipeline. Is there a way to not have it run every time? Or am I doing something wrong? Regards, Glad 	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157fc3eae65:20d3837:18bc4566	first-story	spm.EstimateContrast(): Skip estimation of contrasts once already estimated?	Tue, 25 Oct 2016 12:56:26 GMT	published:Tue, 25 Oct 2016 12:56:26 GMT -- Received: Tue, 25 Oct 2016 14:29:08 GMT
4287	http://neurostars.org/p/4287/	" Hello everyone, Using dicom2nii, dcm2niix or MRIConvert to convert DICOM of Sagittal Siemens data to NIFTI, I get an error about DTI vectors: ""please validate DTI vectors (matrix had a negative determinant, perhaps Siemens sagittal)"". The .bvec file is not correct which makes wrong orientations of the computed DTI. Thanks for your help ! "	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157fb99b50d:198a3ea:297c8405	first-story	dcm2nii, dcm2niix and MRIconvert and Sagittal Siemens data	Tue, 25 Oct 2016 10:53:12 GMT	published:Tue, 25 Oct 2016 10:53:12 GMT -- Received: Tue, 25 Oct 2016 11:28:57 GMT
4286	http://neurostars.org/p/4286/	 Dear Oscar, I have two questions I would be more than grateful is you could answer me. The first one is about metrics used in MRIQC. I have the recommended papers about the metrics you use for assessing QC of the different images. If I interpreted you welll, the highest the number, the best. However, where are the range of values recommended?, Which is the minimum value for every metric we get th	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157fb99b50d:198a3e9:297c8405	first-story	Tool: Recommended metrics and methodology description with MRIQC	Tue, 25 Oct 2016 09:29:31 GMT	published:Tue, 25 Oct 2016 09:29:31 GMT -- Received: Tue, 25 Oct 2016 11:28:57 GMT
4284	http://neurostars.org/p/4284/	 Hi, I am getting the following error: timelist = [np.max([0., _scalefactor * t]) for t in timelist] TypeError: can't multiply sequence by non-int of type 'float' Interface SpecifySPMModel failed to run. Does that mean that onsets have to be integers even though they are specified in seconds? If that is the case, then I suppose rounding them before bunching would be a solution. Regards, Glad 	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157f6726ddf:14c5b53:30cfcb50	first-story	spm.SpecifySPMModel(): Do onsets have to be integers?	Mon, 24 Oct 2016 10:20:09 GMT	published:Mon, 24 Oct 2016 10:20:09 GMT -- Received: Mon, 24 Oct 2016 11:27:56 GMT
4283	http://neurostars.org/p/4283/	Hi all, I get the following error when I try to debug a pipeline. I thought it was because of a funky installation, but I tried installing nipype 0.12.1 from pip in virtualenvs both with --system-site-packages and without. Funny thing is with nipype 0.11 I do not get this problem, but I do get failures when I enable the debug mode (if I disable debug mode in nipype 0.11, it does pass that point bu	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157f3deeb79:100b036:18bc4566	first-story	"""AttributeError: 'Bunch' object has no attribute 'insert'"" when debugging pipeline"	Sun, 23 Oct 2016 21:18:17 GMT	published:Sun, 23 Oct 2016 21:18:17 GMT -- Received: Sun, 23 Oct 2016 23:27:35 GMT
4281	http://neurostars.org/p/4281/	" Hello, I am trying to plot AAL or Harvard Oxford (any 3d atlas) in nilearn. Using the standard example plotting.plot_roi (atlas_filename, title=""Harvard Oxford atlas"") plots all regions at once. However, there is also a labels-list provided and I'd like to display only one region - preferrably based on the label (e.g. labels['Frontal Pole']). I explored the region_extractor and the threshold_img,"	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157e7a21d80:619d4cd:844af92a	first-story	Visualize individual anatomical atlas region in nilearn	Fri, 21 Oct 2016 13:29:59 GMT	published:Fri, 21 Oct 2016 13:29:59 GMT -- Received: Fri, 21 Oct 2016 14:25:43 GMT
4278	http://neurostars.org/p/4278/	"I have a nipype workflow that processes MRI images. Part of this workflow consists of a MapNode that runs FSL BET and passes the output to another MapNode that runs FLIRT. Although I've set the ignore_exception trait for both nodes to True, the FLIRT node fails with the following error and causes the entire workflow to crash: Traceback (most recent call last): File ""/home/lebedov/Work/projects/nip"	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157e31ee5ef:485fd20:297c8405	first-story	ignore_exception doesn't prevent node from crashing if previous node failed for some input files	Thu, 20 Oct 2016 17:18:30 GMT	published:Thu, 20 Oct 2016 17:18:30 GMT -- Received: Thu, 20 Oct 2016 17:23:55 GMT
4276	http://neurostars.org/p/4276/	 Dear Nipype Experts, I've noticed there is no way to pass a pre formated .mat file to be passed on to the models specification function of SPM. This would correspond to the multiple conditions entry in the SPM job. Was this option left out due to convenience? Or is the text file entry better? I suppose neither are BIDS compatible as the TSV files also include trial type names. Just wondering... R	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157dd52e38f:49c5e4b:18bc4566	first-story	spm.SpecifySPMModle() pass .mat file with all conditions set?	Wed, 19 Oct 2016 13:38:14 GMT	published:Wed, 19 Oct 2016 13:38:14 GMT -- Received: Wed, 19 Oct 2016 14:22:59 GMT
4275	http://neurostars.org/p/4275/	" Hi, I am interpreting the loading matrix output from a Group ICA experiment as the ""level of expression"" of one subject (each volume) to the corresponding independent component. In fMRI I would have one loading coefficient for each volume in each fMRI acquisition. I am looking for a method to sensibly calculate only one scalar loading coefficient for one subject. Do you think the average loading "	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157dcae084b:4848279:18bc4566	first-story	ICA loadings interpretation and processing	Wed, 19 Oct 2016 09:23:15 GMT	published:Wed, 19 Oct 2016 09:23:15 GMT -- Received: Wed, 19 Oct 2016 11:22:55 GMT
4272	http://neurostars.org/p/4272/	Dear list, I'm looking to pull my dicom fmri data from my xnat instance and use it as the input to dcm2nii(). I've been looking at the XNATSource documentation but can't see how to generate the output such that I can connect to my dcm2nii() node? Maybe someone has a nice example of code or can point me in the right direction. I've included my code below, which I know is wrong, but is a starting po	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157d8d0aae3:4293bb8:844af92a	first-story	Linking XNAT and dcm2nii()	Tue, 18 Oct 2016 15:49:58 GMT	published:Tue, 18 Oct 2016 15:49:58 GMT -- Received: Tue, 18 Oct 2016 17:22:16 GMT
4269	http://neurostars.org/p/4269/	" I have a function defined below. That function is wrapped as nipype node. It relies on another .py file subtract.py in which diffEntireFile is another defined function. How can I add ""subtract"" to the python path that gets executed by nipype? I need some way of specifying the full path to ""subtract"" because this runs on a slurm cluster. (Analogous to addpath requirement for matlab files when usin"	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157c573453d:20278ce:18bc4566	first-story	add .py file to nipype python path	Fri, 14 Oct 2016 21:20:45 GMT	published:Fri, 14 Oct 2016 21:20:45 GMT -- Received: Fri, 14 Oct 2016 23:07:28 GMT
4268	http://neurostars.org/p/4268/	Hi, experts of nipype: I have a question for the interface of reconall in nipype, we know that in reconall command, you can define the output hierarchy structure like this: reconall.inputs.subject_dir = output_dir So, for exampe, I have 2 subjects( 001.nii, 002.nii), so after reconall command, it will create the output structure like: output_dir |---- 001 | |---- bem | |---- label ........... |---	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157c4ce670e:1ed33f9:18bc4566	first-story	Change the default output structure for reconall in nipype	Fri, 14 Oct 2016 19:44:10 GMT	published:Fri, 14 Oct 2016 19:44:10 GMT -- Received: Fri, 14 Oct 2016 20:07:23 GMT
4267	http://neurostars.org/p/4267/	Hi, experts of nipype: I have a question for the interface of reconall in nipype, we know that in reconall command, you can define the output hierarchy structure like this: reconall.inputs.subject_dir = output_dir So, for exampe, I have 2 subjects( 001.nii, 002.nii), so after reconall command, it will create the output structure like: output_dir |---- 001 | |---- bem | |---- label ........... |---	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157c4ce670e:1ed33f8:18bc4566	first-story	Change the default output structure for reconall in nipype	Fri, 14 Oct 2016 19:44:02 GMT	published:Fri, 14 Oct 2016 19:44:02 GMT -- Received: Fri, 14 Oct 2016 20:07:23 GMT
4263	http://neurostars.org/p/4263/	"Hi, I want to use JoinNode() to pass all struct images to the NewSegment function, which in turn passes this output to the DARTEL template creation function. The Node that has iterables is infosource, as it iterates over subjects and runs. infosource = Node(interface=IdentityInterface(fields=['subject_id', 'run']), name=""infosource"") infosource.iterables = [('subject_id', subs), ('run', runs)] Her"	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157af8d22e3:2f00763:297c8405	first-story	Confused about JoinNode()	Mon, 10 Oct 2016 14:49:34 GMT	published:Mon, 10 Oct 2016 14:49:34 GMT -- Received: Mon, 10 Oct 2016 17:04:04 GMT
4261	http://neurostars.org/p/4261/	 Hello, I am new to Neuro Imaging, and I got hold of a set of training and test images that I want to use to train an SVM to predict a subject's age based on an MRI of his/her brain. I have a set of images in .nii format whose voxels are aligned to ensure that the images have the same orientation. I have a basic Python script that traverses the images and reads the image data as a numpy array with	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157970b698d:9027fd:297c8405	first-story	Linear Regression - Neuro Images	Wed, 05 Oct 2016 21:19:49 GMT	published:Wed, 05 Oct 2016 21:19:49 GMT -- Received: Wed, 05 Oct 2016 22:51:30 GMT
4253	http://neurostars.org/p/4253/	I am new to NiPype and I have been working through some examples. I have encountered a problem with running the dMRI example preprocessing workflow. http://nipy.org/nipype/0.10.0/users/examples/dmri_preprocessing.html I have downloaded the fsl example data set. The link on the NiPype example web page is broken. I am using the fdt1.tar.gz data set instead. This data set seemed to have all of the fi	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_15786e6ef23:5665b0:297c8405	first-story	Nipype DTI FSL example error	Sun, 02 Oct 2016 17:17:48 GMT	published:Sun, 02 Oct 2016 17:17:48 GMT -- Received: Sun, 02 Oct 2016 19:37:43 GMT
4248	http://neurostars.org/p/4248/	 From: Robert W Cox, PhD Director, Scientific and Statistical Computing Core NIMH & NIH +1-301-594-9196 http://afni.nimh.nih.gov There is a job opening in the AFNI group at NIHM, NIH, USA. Please see this link if you or someone you know is a scientific programmer: https://kelly.secure.force.com/CandidateExperience/CandExpJobDetails?id=a7V80000000PChaEAG&searchFlag=true You do not apply directly to	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1577761a7d2:1ac53d5:e3157ec0	first-story	Job: Job opening: AFNI group (NIMH, NIH, USA)	Thu, 29 Sep 2016 18:14:22 GMT	published:Thu, 29 Sep 2016 18:14:22 GMT -- Received: Thu, 29 Sep 2016 19:17:51 GMT
4245	http://neurostars.org/p/4245/	 HI, does anyone have a reference for a best-practice document that describes the legal and technical issues around acquiring, storing, processing, and sharing (f)MRI data? I am particularly looking for e.g. an official guideline or list with checkboxes (e.g. raw-data archived -check-, data defaced, de-identified..-checked-, ...) that would help with IRB in order to be ethically (and legally) on t	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_15776bcadfa:1449730:e0992bbc	first-story	best practices data storage	Thu, 29 Sep 2016 13:34:34 GMT	published:Thu, 29 Sep 2016 13:34:34 GMT -- Received: Thu, 29 Sep 2016 16:17:39 GMT
4241	http://neurostars.org/p/4241/	 Hello, I'd like to replicate the plots from this paper: http://www.sciencedirect.com/science/article/pii/S089662731200428X, where transparency is used to indicate T-stats. The Matlab code to do this is available here: http://mialab.mrn.org/datavis Is there a way to do this with nilearn's plotting tools? I guess not currently, and that I'd have to write a new add_overlay() function to OrthoSlicer?	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1577049c370:10ad1ed:18bc4566	first-story	Transparency in Nilearn overlay plots	Wed, 28 Sep 2016 08:39:55 GMT	published:Wed, 28 Sep 2016 08:39:55 GMT -- Received: Wed, 28 Sep 2016 10:14:24 GMT
4239	http://neurostars.org/p/4239/	Hi everyone, I have the necessity to use Nipype inside a program that I'm writing, but I'm having a problem. The code actually is using Python logging for log information inside a file, but when I try to import nipype the program starts to print all the logging messages into the console instead that inside the file. I'll try to be clear with a little example. import logging if __name__ == '__main_	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1576b1f26b0:76d0f2c:297c8405	first-story	Nipype and Python logging	Tue, 27 Sep 2016 09:39:45 GMT	published:Tue, 27 Sep 2016 09:39:45 GMT -- Received: Tue, 27 Sep 2016 10:09:46 GMT
4236	http://neurostars.org/p/4236/	Hi all, I noticed that the currently wrapped ANTs function ANTSJacobian is deprecated. 160919-16:10:48,212 interface INFO: stdout 2016-09-19T16:10:48.212057:Sorry! ANTSJacobian is deprecated 160919-16:10:48,212 interface INFO: stdout 2016-09-19T16:10:48.212057:Please use CreateJacobianDeterminantImage For the full log, see here . The CreateJacobianDeterminantImage ANTs function can be viewed here 	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_15748eabdca:142c0c:e30dc255	first-story	Code review for wrapped ANTs function 'CreateJacobianDeterminantImage'?	Tue, 20 Sep 2016 18:12:27 GMT	published:Tue, 20 Sep 2016 18:12:27 GMT -- Received: Tue, 20 Sep 2016 18:45:26 GMT
4235	http://neurostars.org/p/4235/	" Hi, Have you ever seen this weird effect on ICA spatial maps from resting-state fMRI? I am seeing this ""Gruyère"" effect on the blobs of the ICA spatial maps. I can't figure out why. These images were preprocessed as: 6 sec trimmed - slicetime corrected - motion corrected - nuisance corrected (motion, CompCor CSF and WM) - bandpass filtered - smoothed (8mm). The warping was done using the avg EPI "	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_15748eabdca:142c0b:e30dc255	first-story	Strange effect in ICA spatial maps	Tue, 20 Sep 2016 16:51:31 GMT	published:Tue, 20 Sep 2016 16:51:31 GMT -- Received: Tue, 20 Sep 2016 18:45:26 GMT
4230	http://neurostars.org/p/4230/	 Hello, I am currently working on creating connectivity matrices based on task data. The design is blocked and I'm interested in connectivity that is happening within specific blocks. Therefore, I am selecting only the volumes corresponding to specific task conditions. Afterwards I want to concatenate the data from all subjects and generate connectivity matrices from the concatenated time series. 	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_157325c6f52:31d0a9:3e511f58	first-story	Normalize, split and concatenate time series	Fri, 16 Sep 2016 07:46:14 GMT	published:Fri, 16 Sep 2016 07:46:14 GMT -- Received: Fri, 16 Sep 2016 09:38:21 GMT
4223	http://neurostars.org/p/4223/	 Through inconsistent use of social login, I somehow created two separate Neurostars accounts. [This one](https://neurostars.org/u/264/) and another [one](http://neurostars.org/u/595/). I'd like to either merge the latter into the former, or just delete the latter to free up social logins. I've tried removing the social logins from the latter, but I can't wipe them all out (it complains I have no 	asvvdx865ekZS29zuuNNEfOY/yfHzvvxJ7EvaV1yXyU=_1573065a893:13a97b35:e6b2a59c	first-story	Can I merge/delete Neurostars accounts?	Thu, 15 Sep 2016 21:56:40 GMT	published:Thu, 15 Sep 2016 21:56:40 GMT -- Received: Fri, 16 Sep 2016 00:29:11 GMT
